CodProducto,Producto,Categoria,Activo,F_vencimiento,P_compra,P_venta,Margen,01-01-2020,08-01-2020,15-01-2020,22-01-2020,29-01-2020,05-02-2020,12-02-2020,19-02-2020,26-02-2020,04-03-2020,11-03-2020,18-03-2020,25-03-2020,01-04-2020,08-04-2020,15-04-2020,22-04-2020,29-04-2020,06-05-2020,13-05-2020,20-05-2020,27-05-2020,03-06-2020,10-06-2020,17-06-2020,24-06-2020,01-07-2020,08-07-2020,15-07-2020,22-07-2020,29-07-2020,05-08-2020,12-08-2020,19-08-2020,26-08-2020,02-09-2020,09-09-2020,16-09-2020,23-09-2020,30-09-2020,07-10-2020,14-10-2020,21-10-2020,28-10-2020,04-11-2020,11-11-2020,18-11-2020,25-11-2020,02-12-2020,09-12-2020,16-12-2020,23-12-2020,30-12-2020,06-01-2021,13-01-2021,20-01-2021,27-01-2021,03-02-2021,10-02-2021,17-02-2021,24-02-2021,03-03-2021,10-03-2021,17-03-2021,24-03-2021,31-03-2021,07-04-2021,14-04-2021,21-04-2021,28-04-2021,05-05-2021,12-05-2021,19-05-2021,26-05-2021,02-06-2021,09-06-2021,16-06-2021,23-06-2021,30-06-2021,07-07-2021,14-07-2021,21-07-2021,28-07-2021
GALL006,Galleta Lonchera Intg de Coco x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL007,Galleta Lonchera Intg de Naranja x 42 gr,Snacks,NO,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
GALL008,Mega Galleta de Coco,Snacks,SI,150,2.00,3.1,1.10,1,2,2,1,3,0,1,2,3,0,1,0,4,0,0,0,2,1,3,0,1,4,0,3,1,2,1,2,3,0,1,0,1,2,2,2,4,1,1,0,3,0,3,0,1,0,1,1,0,1,0,1,2,2,1,1,2,0,1,4,2,1,1,2,0,2,1,2,1,1,2,0,2,2,4,1,1,0,1,2,2,2,4
GALL009,Mega Galleta de Kiwicha,Snacks,SI,150,2.00,3.1,1.10,2,3,4,2,3,0,3,4,4,1,3,3,2,5,2,1,5,2,3,3,1,1,3,2,4,3,5,2,5,2,3,3,2,2,3,4,3,1,3,3,5,3,2,3,1,3,3,3,3,3,3,3,2,3,3,3,4,3,1,1,3,3,3,4,3,3,5,2,3,3,4,3,3,4,3,1,3,3,2,2,3,4,3
GALL010,Mega Galleta de Naranja,Snacks,SI,150,2.00,3.1,1.10,1,3,0,0,1,1,2,0,2,0,3,0,1,2,5,2,2,0,1,1,0,1,2,1,1,1,2,2,2,0,3,0,1,1,1,2,2,0,3,0,2,1,1,1,2,2,1,0,2,1,2,1,1,2,1,2,4,1,0,1,2,1,2,4,1,1,2,2,1,2,4,1,1,2,2,0,3,0,1,1,1,2,2
GALL011,Mega Galleta Integral de Coco,Snacks,SI,150,2.00,3.1,1.10,3,6,4,2,4,2,5,1,4,2,4,4,4,0,2,5,4,2,4,2,2,4,4,2,4,2,4,2,4,2,4,4,2,1,4,3,2,2,4,4,3,3,4,3,2,3,2,3,3,2,3,2,1,3,2,3,4,2,2,4,3,2,3,4,2,2,4,2,2,3,4,2,4,3,2,2,4,4,2,1,4,3,2
GALL012,Mega Galleta Integral de Naranja,Snacks,SI,150,2.00,3.1,1.10,3,5,6,3,2,4,3,5,1,3,4,2,0,5,2,2,5,3,2,4,3,0,5,2,2,5,2,1,2,3,4,2,3,3,4,1,3,3,4,2,3,4,3,3,2,6,4,3,6,4,6,4,1,6,4,6,2,4,3,0,6,4,6,2,4,5,2,1,4,6,2,4,4,1,3,3,4,2,3,3,4,1,3
PAN001,Pan Americano Sandwich,Panes,SI,15,7.00,8.5,1.50,2,5,3,2,5,2,4,0,7,1,5,2,5,3,2,0,2,2,5,2,3,5,3,2,3,3,4,4,5,1,5,2,4,3,6,3,5,1,5,2,3,4,6,4,4,4,3,3,4,3,4,3,2,4,3,4,6,2,3,5,4,3,4,6,2,3,4,4,3,4,6,2,6,3,5,1,5,2,4,3,6,3,5
PAN002,Pan Integral Familiar Superbom,Panes,SI,15,7.00,9,2.00,2,0,4,2,0,2,1,1,1,0,3,0,1,1,1,1,1,2,0,2,1,1,2,1,1,1,1,1,5,0,3,0,1,2,2,2,5,0,3,0,2,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,2,2,2,5,0,3,0,1,2,2,2,5
PAN003,Pan Americano Mediano Union,Panes,SI,15,7.00,9.50,2.50,3,5,0,3,2,4,4,0,4,1,2,1,5,2,6,0,4,3,2,4,2,5,2,6,4,2,4,2,4,2,2,5,5,2,1,1,6,1,2,1,3,3,3,3,3,4,3,3,4,3,4,3,2,4,3,4,2,4,2,5,4,3,4,2,4,2,4,2,3,4,2,4,1,1,6,1,2,5,5,2,1,1,6
PAN004,Pan Fuente,Panes,SI,15,7.00,8.5,1.50,2,1,3,2,3,0,3,0,0,2,2,0,1,3,4,1,1,2,3,0,3,1,1,4,1,2,1,2,1,2,2,0,1,2,2,2,1,2,2,1,1,1,2,2,1,0,1,1,0,1,0,1,2,0,1,0,2,0,3,1,0,1,0,2,0,2,1,2,1,0,2,0,2,2,1,2,2,0,1,2,2,2,1
PAN005,Pan Blanco Familiar Superbom,Panes,SI,15,7.00,8.5,1.50,1,4,3,3,2,2,5,2,0,4,1,5,0,5,1,1,3,1,2,2,2,3,5,1,3,3,2,0,0,4,1,5,2,3,3,2,1,4,1,5,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,4,2,3,2,0,3,3,4,2,3,2,1,4,1,5,2,3,3,2,1
PAN006,Pan Fibra Integral,Panes,SI,15,7.00,9.5,2.50,2,4,3,3,2,3,2,5,0,4,6,1,4,2,5,5,4,3,2,3,4,1,2,5,1,4,4,3,1,4,6,1,2,4,4,2,1,4,6,1,2,4,4,5,4,8,2,4,8,2,8,2,9,8,2,8,2,3,4,1,4,3,1,3,2,4,4,3,3,1,3,2,4,2,1,4,6,1,2,4,4,2,1
PAN007,Pan Vita Fibra,Panes,SI,15,8.00,10.00,2.00,2,4,2,2,2,2,4,1,2,1,2,0,1,4,2,1,2,1,2,0,1,1,4,2,1,2,2,1,0,1,2,0,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,0,1,1,1,1,6,1,1,1,3,0,1,1,2,1,3,0,1,2,2,1,1,3,0,1,2,2,2,1,2,0,1,2,2,2,2
PAN008,Pan con Granos Integrales 540gr,Panes,SI,15,7.00,8.5,1.50,4,2,8,2,5,2,4,3,3,7,2,6,1,3,3,2,1,1,5,2,4,6,2,5,5,5,4,6,4,7,2,6,4,4,7,5,0,7,2,6,4,3,4,5,5,1,5,2,1,5,1,5,6,1,5,1,5,2,5,6,5,3,5,5,4,5,4,6,3,5,5,4,7,5,0,7,2,6,4,4,7,5,0
PAN009,Pan con semillas y Chips de Miel de Abeja,Panes,SI,15,7.00,8.5,1.50,6,3,3,5,5,3,4,5,2,6,6,2,5,3,2,4,4,5,5,3,5,3,8,2,3,5,3,7,5,6,6,3,8,4,4,6,1,6,6,3,4,3,6,2,4,6,4,2,6,4,6,4,4,6,4,6,7,3,5,3,5,3,7,5,5,5,3,7,3,7,5,5,4,6,1,6,6,3,8,4,4,6,1
PAN010,Pan Multigrano Avena,Panes,SI,15,8.00,10.50,2.50,3,5,3,2,4,4,3,2,5,8,1,3,7,2,5,2,4,1,4,1,1,7,2,5,2,6,5,4,2,8,1,3,4,4,4,4,1,6,1,3,3,1,3,3,3,3,3,3,3,3,3,3,4,3,2,3,6,1,1,7,2,1,4,2,2,6,5,4,1,4,2,2,4,4,1,6,1,3,4,4,4,4,1
